StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1_1,Q1_2,Q4_1,Q4_2,Q11_3,Q11_5,Q11_13,Q11_6,Q11_2,Q11_4,Q11_7
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Please drag and drop the candidates' names to indicate your preference for the position of President - Jason Chin,Please drag and drop the candidates' names to indicate your preference for the position of President - Matthew Page,Please drag and drop the candidates' names to indicate your preference for the position of Treasurer - Alex Holcombe,Please drag and drop the candidates' names to indicate your preference for the position of Treasurer - Rose O’Dea,"Please drag and drop the candidates' names to indicate your preference for the general committee positions. Due to the asynchronous format, these elections are being run in parallel so all candidates for contested positions are presented below along with those who nominated for a general committee position. - Alex Holcombe","Please drag and drop the candidates' names to indicate your preference for the general committee positions. Due to the asynchronous format, these elections are being run in parallel so all candidates for contested positions are presented below along with those who nominated for a general committee position. - Fiona Fidler","Please drag and drop the candidates' names to indicate your preference for the general committee positions. Due to the asynchronous format, these elections are being run in parallel so all candidates for contested positions are presented below along with those who nominated for a general committee position. - Jason Chin","Please drag and drop the candidates' names to indicate your preference for the general committee positions. Due to the asynchronous format, these elections are being run in parallel so all candidates for contested positions are presented below along with those who nominated for a general committee position. - Lee Jones","Please drag and drop the candidates' names to indicate your preference for the general committee positions. Due to the asynchronous format, these elections are being run in parallel so all candidates for contested positions are presented below along with those who nominated for a general committee position. - Matthew Page","Please drag and drop the candidates' names to indicate your preference for the general committee positions. Due to the asynchronous format, these elections are being run in parallel so all candidates for contested positions are presented below along with those who nominated for a general committee position. - Rose O'Dea","Please drag and drop the candidates' names to indicate your preference for the general committee positions. Due to the asynchronous format, these elections are being run in parallel so all candidates for contested positions are presented below along with those who nominated for a general committee position. - Simine Vazire"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID1_2""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}"
3/12/2020 4:24,3/12/2020 4:25,,100,52,TRUE,,,,,2,1,,,2,3,4,5,6,7,1
3/12/2020 4:25,3/12/2020 4:26,,100,56,TRUE,,,,,1,2,1,2,2,1,3,5,6,4,7
3/12/2020 4:24,3/12/2020 4:26,,100,149,TRUE,,,,,1,2,1,2,1,4,3,7,5,6,2
3/12/2020 4:25,3/12/2020 4:27,,100,135,TRUE,,,,,2,1,2,1,6,5,7,3,2,1,4
3/12/2020 4:26,3/12/2020 4:28,,100,95,TRUE,,,,,,,,,1,2,3,5,6,4,7
3/12/2020 4:24,3/12/2020 4:28,,100,209,TRUE,,,,,,,2,1,3,4,1,7,2,5,6
3/12/2020 4:24,3/12/2020 4:31,,100,399,TRUE,,,,,2,1,,,5,2,7,3,4,6,1
3/12/2020 4:31,3/12/2020 4:32,,100,51,TRUE,,,,,1,2,2,1,3,4,2,5,1,6,7
3/12/2020 4:27,3/12/2020 4:33,,100,344,TRUE,,,,,2,1,,,5,1,3,6,2,7,4
3/12/2020 4:30,3/12/2020 4:35,,100,307,TRUE,,,,,2,1,1,2,2,5,6,7,4,3,1
3/12/2020 4:33,3/12/2020 4:38,,100,271,TRUE,,,,,1,2,1,2,5,4,3,7,1,2,6
3/12/2020 4:29,3/12/2020 4:39,,100,617,TRUE,,,,,2,1,1,2,5,4,1,7,2,3,6
3/12/2020 4:35,3/12/2020 4:40,,100,272,TRUE,,,,,1,2,1,2,6,4,1,5,2,7,3
3/12/2020 4:48,3/12/2020 4:49,,100,64,TRUE,,,,,,,,,,,,,,,
3/12/2020 4:25,3/12/2020 4:54,,100,1754,TRUE,,,,,1,2,2,1,5,4,1,7,6,3,2
3/12/2020 5:58,3/12/2020 6:00,,100,117,TRUE,,,,,1,2,1,2,4,5,3,1,7,2,6
3/12/2020 6:09,3/12/2020 6:11,,100,106,TRUE,,,,,2,1,2,1,1,3,6,2,5,7,4
3/12/2020 4:25,3/12/2020 6:50,,100,8694,TRUE,,,,,2,1,2,1,6,1,4,7,3,5,2
3/12/2020 7:50,3/12/2020 7:51,,100,51,TRUE,,,,,1,2,1,2,1,3,4,6,5,7,2
3/12/2020 10:17,3/12/2020 10:18,,100,82,TRUE,,,,,2,1,2,1,4,2,7,5,6,3,1
3/12/2020 11:03,3/12/2020 11:05,,100,87,TRUE,,,,,1,2,1,2,5,4,6,7,3,1,2
3/12/2020 11:07,3/12/2020 11:09,,100,79,TRUE,,,,,1,2,,,2,1,3,7,6,5,4
3/12/2020 11:07,3/12/2020 11:09,,100,126,TRUE,,,,,2,1,1,2,3,1,4,5,6,7,2
3/12/2020 11:54,3/12/2020 11:55,,100,102,TRUE,,,,,,,2,1,3,6,1,7,4,2,5
3/12/2020 11:52,3/12/2020 11:57,,100,309,TRUE,,,,,,,,,3,2,5,6,7,4,1
3/12/2020 12:37,3/12/2020 12:39,,100,80,TRUE,,,,,2,1,,,3,2,6,5,7,4,1
3/12/2020 12:39,3/12/2020 12:42,,100,188,TRUE,,,,,2,1,1,2,5,1,4,6,3,2,7
3/12/2020 12:44,3/12/2020 12:47,,100,159,TRUE,,,,,1,2,2,1,4,2,5,7,6,3,1
3/12/2020 12:51,3/12/2020 12:53,,100,137,TRUE,,,,,1,2,2,1,2,1,5,7,4,3,6
3/12/2020 13:21,3/12/2020 13:23,,100,138,TRUE,,,,,2,1,,,4,1,5,6,7,3,2
3/12/2020 13:23,3/12/2020 13:24,,100,48,TRUE,,,,,2,1,,,2,5,4,6,1,7,3
3/12/2020 14:10,3/12/2020 14:11,,100,73,TRUE,,,,,2,1,1,2,4,1,6,5,7,3,2
3/12/2020 14:12,3/12/2020 14:27,,100,853,TRUE,,,,,2,1,2,1,3,2,4,1,7,6,5
3/12/2020 15:08,3/12/2020 15:11,,100,195,TRUE,,,,,1,2,2,1,5,2,4,6,7,1,3
3/12/2020 15:16,3/12/2020 15:18,,100,117,TRUE,,,,,1,2,2,1,5,6,1,4,2,3,7
3/12/2020 15:17,3/12/2020 15:18,,100,54,TRUE,,,,,1,2,,,4,1,3,5,6,7,2
3/12/2020 15:43,3/12/2020 15:46,,100,165,TRUE,,,,,2,1,2,1,7,5,1,4,3,6,2
3/12/2020 14:58,3/12/2020 15:48,,100,2981,TRUE,,,,,1,2,2,1,4,2,1,5,6,3,7
3/12/2020 15:44,3/12/2020 15:49,,100,262,TRUE,,,,,2,1,,,5,2,4,6,1,7,3
3/12/2020 15:49,3/12/2020 15:50,,100,53,TRUE,,,,,2,1,1,2,7,5,2,4,6,3,1
3/12/2020 17:39,3/12/2020 17:45,,100,360,TRUE,,,,,1,2,1,2,5,1,3,6,2,7,4
3/12/2020 18:05,3/12/2020 18:13,,100,448,TRUE,,,,,1,2,2,1,5,1,4,6,7,2,3
3/12/2020 18:24,3/12/2020 18:26,,100,117,TRUE,,,,,1,2,2,1,3,5,4,6,2,1,7
3/12/2020 4:39,3/12/2020 18:53,,100,51276,TRUE,,,,,2,1,2,1,6,1,3,7,2,4,5
3/12/2020 4:25,3/12/2020 18:53,,100,52136,TRUE,,,,,2,1,2,1,5,3,6,7,1,2,4
3/12/2020 18:55,3/12/2020 18:59,,100,199,TRUE,,,,,1,2,2,1,4,1,3,7,6,5,2
3/12/2020 6:36,3/12/2020 19:11,,100,45333,TRUE,,,,,2,1,2,1,7,1,5,6,2,4,3
3/12/2020 20:29,3/12/2020 21:08,,100,2333,TRUE,,,,,1,2,2,1,5,1,4,6,7,2,3
3/12/2020 21:19,3/12/2020 21:22,,100,173,TRUE,,,,,1,2,1,2,2,3,5,6,7,4,1
3/12/2020 22:14,3/12/2020 22:16,,100,86,TRUE,,,,,,,,,,,,,,,
3/12/2020 23:03,3/12/2020 23:03,,100,26,TRUE,,,,,1,2,,,,,,,,,
3/12/2020 23:02,3/12/2020 23:03,,100,53,TRUE,,,,,2,1,,,3,2,4,5,1,7,6
3/12/2020 23:02,3/12/2020 23:03,,100,59,TRUE,,,,,,,,,2,4,3,5,6,7,1
3/12/2020 23:02,3/12/2020 23:04,,100,79,TRUE,,,,,1,2,1,2,5,1,6,2,7,3,4
3/12/2020 23:02,3/12/2020 23:04,,100,103,TRUE,,,,,2,1,2,1,3,5,4,6,7,2,1
3/12/2020 23:03,3/12/2020 23:05,,100,123,TRUE,,,,,1,2,1,2,6,5,7,3,2,1,4
3/12/2020 23:04,3/12/2020 23:06,,100,98,TRUE,,,,,1,2,2,1,5,1,2,6,7,3,4
